company_name,domain,country_code,state_code,region,city,status,short_description,category_list,funding_rounds, funding_total_usd ,founded_on,first_funding_on,last_funding_on,closed_on,email,phone,cb_url,twitter_url,facebook_url,uuid
Crimson Hexagon,crimsonhexagon.com,USA,MA,Boston,Boston,operating,Crimson Hexagon delivers social media monitoring analysis services about brands or issues.,Analytics|Brand Marketing|Social Media Management,6," 31,158,362 ",2007-08-01,2009-09-09,2016-03-08,,info@crimsonhexagon.com,,https://www.crunchbase.com/organization/crimson-hexagon,https://www.twitter.com/crimsonhexagon,http://www.facebook.com/pages/Crimson-Hexagon/127737499873,5bd1ba45-c683-d798-1619-6fbbd444f496
Linmon Pictures,,CHN,,Shanghai,Shanghai,operating,Linmon Pictures is a boutique entertainment studio,Film|Film Production,2," 91,362,281 ",2014-08-01,2015-02-01,2016-03-08,,,,https://www.crunchbase.com/organization/linmon-pictures,,,2704435a-f8b5-ca84-ade4-f29734b9105b
Culture Amp,cultureamp.com,AUS,,Melbourne,Melbourne,operating,Specializing in staff surveying and analytics.,Analytics|Enterprise Software|Software,2," 16,300,000 ",2011-01-01,2015-03-04,2016-03-07,,hello@cultureamp.com,,https://www.crunchbase.com/organization/cultureamp,https://www.twitter.com/cultureamp,http://www.facebook.com/cultureamp,363cfce8-2ac6-bf0c-41c2-0a2f6caa5805
Exo Protein Bars,exoprotein.com,USA,NY,New York City,Brooklyn,operating,Protein Bars Made from Cricket Flour,Agriculture|Hospitality,2," 5,200,000 ",2014-01-01,2014-09-23,2016-03-07,,info@exo.co,(818) 744-4140,https://www.crunchbase.com/organization/exo-protein-bars,https://www.twitter.com/exo_protein,http://www.facebook.com/exoprotein,3192983f-124d-f942-044e-74689a97d834
fxiaoke.com,fxiaoke.com,CHN,,Beijing,Beijing,operating,"fxiaoke is a Chinese startup supports field operation management, distribution chain management, customer relationship management.",Customer Service|Supply Chain Management,1,,2011-12-01,2016-03-07,2016-03-07,,,(400) 668-9050,https://www.crunchbase.com/organization/fxiaoke-com,,,22fde922-9600-937d-45f9-03f03165a3cf
GetLinks,getlinks.co,THA,,Bangkok,Bangkok,operating,Getlinks mission is to help 25M Millennials job hunters in South East Asia to break into their dream jobs in Tech companies,Recruiting,2," 625,000 ",2015-01-01,2015-10-15,2016-03-07,,,,https://www.crunchbase.com/organization/getlinks,https://www.twitter.com/getlinks_co,https://www.facebook.com/linkentrepreneurs,3cf833fc-aeca-6442-e02a-7c317b48a711
Hooch,hooch.co,USA,NY,New York City,New York,operating,"Hooch is the first ever members-only cocktail app. Let us buy you up to 31 drinks a month, the first round is always on us!",Consumer|Subscription Service|Wine And Spirits,1," 1,000,000 ",2014-11-17,2016-03-07,2016-03-07,,support@hoochapp.com,,https://www.crunchbase.com/organization/hooch,,https://www.facebook.com/hoochapp/,b2c01b1e-70ab-6d1c-8d91-499074df1e4d
Lasergen,lasergen.com,USA,TX,Houston,Houston,operating,Lasergen is a biotechnology company developing and commercializing technologies for genomic applications.,Biotechnology|Health Diagnostics,2," 85,000,000 ",2012-01-01,2011-08-30,2016-03-07,,mmetzker@lasergen.com,,https://www.crunchbase.com/organization/lasergen,,,faf5b960-e357-a50e-ecff-888ff66c585e
Liveli,liveli.co,USA,CA,SF Bay Area,San Francisco,operating,"They source, filter, and screen job seekers so you can focus on running your business.",Software,2," 1,700,000 ",2014-08-01,2014-07-14,2016-03-07,,hi@liveli.co,(844) 454-8354,https://www.crunchbase.com/organization/liveli,https://www.twitter.com/liveliCo,https://www.facebook.com/livelico,b705194c-88ce-29e2-6d13-1970d56deeee
Ninjacart,ninjacart.in,IND,,Bangalore,Bengaluru,operating,Ninjacart is an online B2B platform that connects farmers and brands to retailers,B2B|Brand Marketing|Internet,1," 3,000,000 ",2015-07-01,2016-03-07,2016-03-07,,care@ninjacart.in,'+917708453005,https://www.crunchbase.com/organization/ninjacart,https://www.twitter.com/ninjacart,,e9967793-51c9-66ce-eddf-23aa7e042bac
